BP,BPM,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis RV,EGM Mean RV,EGM STD RV,EGM Skewness RV,Max Actual BP,Mean Actual BP,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,R-R Interval RV
186.0,65.359477124183,1.0,16.483878986057174,49.11844235582122,2.0,0.7975473097611605,0.29540560717547454,0.15748294685188818,1.225658309988661,139.1,103.20089999999999,-0.9616483564936762,-1.4977765624816568,0.36619053766048465,0.4776603726073942,-0.8133917880226575,0.6974202270634793,0.22821014102079706,-0.5715479098776747,918.0
186.0,65.00541711809318,1.0,27.028138319422478,49.11844235582122,2.0,11.590502330086421,0.3498964746191315,0.34797623923404714,3.336670300810894,139.1,102.1234,-0.907487361151488,-2.1951967895451343,0.5943144952050994,0.5131956995887885,-0.8133917880226575,0.6974202270634793,0.22821014102079706,-0.5715479098776747,923.0
186.0,75.9493670886076,1.0,27.028138319422478,49.11844235582122,2.0,1.668656727079358,0.2639314380012081,0.12242315595125024,1.2528810973107425,139.1,104.69305,-0.907487361151488,-2.1951967895451343,0.5943144952050994,0.5131956995887885,-0.8133917880226575,0.6974202270634793,0.22821014102079706,-0.5715479098776747,790.0
186.0,75.9493670886076,1.0,27.028138319422478,49.11844235582122,2.0,1.351941102587947,0.25896310709507575,0.12706096965701227,1.1231432385933546,138.5,103.71314999999998,-0.907487361151488,-2.1951967895451343,0.5943144952050994,0.5131956995887885,-0.8133917880226575,0.6974202270634793,0.22821014102079706,-0.5715479098776747,790.0
191.0,75.9493670886076,1.0,14.344933134990312,40.1091486535895,2.0,1.2851520785012571,0.2562422217917921,0.12815437671555205,1.1544103752934234,129.4,101.6631,-1.0820278300808412,-2.806568703841045,0.7091392327606771,0.4973057423146669,-0.39955896375901245,0.594121560394949,0.16219482127804358,-0.9706369317958954,790.0
191.0,75.9493670886076,1.0,14.344933134990312,40.1091486535895,2.0,0.20778946266270237,0.2779013684204527,0.13615388584825747,0.8660237774786066,129.4,100.64815,-1.0820278300808412,-2.806568703841045,0.7091392327606771,0.4973057423146669,-0.39955896375901245,0.594121560394949,0.16219482127804358,-0.9706369317958954,790.0
191.0,56.92599620493359,1.0,14.344933134990312,40.1091486535895,2.0,2.6613474464632674,0.2901017528426259,0.16721025816081422,1.6106449269084573,129.4,101.69319999999999,-1.0820278300808412,-2.806568703841045,0.7091392327606771,0.4973057423146669,-0.39955896375901245,0.594121560394949,0.16219482127804358,-0.9706369317958954,1054.0
191.0,56.92599620493359,1.0,14.344933134990312,40.1091486535895,2.0,2.608083426718345,0.27956301217060997,0.1710368890537829,1.6333101955252314,140.0,105.43045000000002,-1.0820278300808412,-2.806568703841045,0.7091392327606771,0.4973057423146669,-0.39955896375901245,0.594121560394949,0.16219482127804358,-0.9706369317958954,1054.0
191.0,56.92599620493359,1.0,14.344933134990312,40.1091486535895,2.0,2.2377382203809733,0.26614973820289234,0.1788957803598288,1.5467020635547204,140.0,104.76375,-1.0820278300808412,-2.806568703841045,0.7091392327606771,0.4973057423146669,-0.39955896375901245,0.594121560394949,0.16219482127804358,-0.9706369317958954,1054.0
0.0,56.92599620493359,1.0,,10.745026051067951,2.0,1.5889894339678774,0.2774098549286998,0.18194581555816045,1.3503160761385378,140.0,103.56695,-2.0,-1.7766049177959016,0.0007134120703360392,0.0,-2.0,0.16623495540303207,9.488299632420816e-05,0.0,1054.0
0.0,68.88633754305395,1.0,49.455659695384696,10.745026051067951,2.0,1.3288788415283426,0.3434612412129111,0.2668632149827325,1.341400530684459,140.0,102.85875,-1.3275816976786496,0.6774071270451956,0.19007161374261547,-0.34653681866731373,-2.0,0.16623495540303207,9.488299632420816e-05,0.0,871.0
0.0,68.88633754305395,1.0,51.81470841835646,10.745026051067951,2.0,0.2851664072320528,0.299582581934123,0.20848025602755213,1.1661797786398647,140.0,105.65225000000001,-1.3363211741201044,0.646911588718064,0.19868741621296684,-0.350334530411357,-2.0,0.16623495540303207,9.488299632420816e-05,0.0,871.0
0.0,68.88633754305395,1.0,49.50941663801062,3.974273089785202,2.0,0.20574687623275478,0.29510999863391174,0.21202666198448966,1.1330882367352342,140.0,106.27420000000004,-1.3143061595704506,0.6337373479322125,0.18412238262382283,-0.41847113287364635,-1.9999999999999998,0.39434356607957144,3.473780559723472e-05,2.3969204556093748e-12,871.0
76.0,68.88633754305395,1.0,34.54255283054544,32.74207167885407,2.0,0.23640932453665053,0.2966328419591516,0.21066116245897964,1.1502067554576243,140.0,104.89699999999999,-0.8084450963871057,0.5424148870623577,0.11452913857317963,-0.4701254190738054,-0.05945617376862655,0.4640544893751201,0.12281586190094383,-0.9409012717860509,871.0
76.0,68.88633754305395,1.0,34.54255283054544,32.74207167885407,2.0,-0.0560033497256458,0.31764008234711893,0.20819679164630003,0.9482616146295582,140.0,103.8828,-0.8084450963871057,0.5424148870623577,0.11452913857317963,-0.4701254190738054,-0.05945617376862655,0.4640544893751201,0.12281586190094383,-0.9409012717860509,871.0
100.0,73.17073170731707,1.0,44.167678169227386,46.5916423275118,2.0,0.19140782134534362,0.28787303199489217,0.16899952696103698,0.9101054225852809,140.0,103.92135,-0.6367990002462185,0.4158523391825609,0.10894431158884224,-0.7654140484752915,-0.4237334245864486,0.37863620186564373,0.0966921998465424,-1.0073399092072528,820.0
100.0,73.17073170731707,1.0,31.83505893481152,46.5916423275118,2.0,0.5057077361104851,0.28013057695948823,0.16717236217080456,0.9616838405883741,140.0,105.95465,-0.8461276658733232,0.39992906437905607,0.10653045132975592,-0.7067486659698308,-0.4237334245864486,0.37863620186564373,0.0966921998465424,-1.0073399092072528,820.0
164.0,73.17073170731707,1.0,29.100051408793824,32.51359889554071,2.0,0.5777053420215554,0.26744912572776997,0.17024679269572246,1.0797195889461566,134.8,103.79555,0.7878046898939397,0.472333643034535,0.08727528752559391,-0.8394925139003159,1.1888260663631645,0.5271485914738238,0.10685529707876054,-1.3717988881189052,820.0
196.0,73.17073170731707,1.0,33.08420067835542,38.80100109773886,2.0,0.900918190783039,0.27667251822368666,0.16241211650179352,1.1746434140360626,134.8,101.95805,1.3416872059604534,0.5311214833223598,0.10210882378260831,-1.083464533570751,1.1802567094971375,0.6648304271680276,0.1347877574280791,-1.368373346114668,820.0
